,task_id,author_solution,student_solution,help,description,tests,id_solution,author_comment_embedding,level
0,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = num
max_sum = max(max_sum, current_sum)
print(max_sum)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
1,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
prnt(max_sum)",ошибка с опечаткой,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
2,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
        max_sum = max(max_sum, current_sum)
    else:
        current_sum = 0
print(max_sum)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
3,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sun)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)",ошибка с опечаткой,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
4,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum + 1)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
5,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum - 1)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
6,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_num, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
7,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_summ)",ошибка в синтаксисе,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
8,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum - 1)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
9,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num ! 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)",ошибка в синтаксисе,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
10,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum - 1)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
11,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum + 1)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
12,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_num)
print(max_sum)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
13,50,"s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum)","s = list(map(int, input().split()))
max_sum = 0
current_sum = 0
for num in s:
    if num != 0:
        current_sum += num
    else:
        max_sum = max(max_sum, current_sum)
        current_sum = 0
max_sum = max(max_sum, current_sum)
print(max_sum + 1)",ошибка в логике,"Полина готовится к экзамену по программированию на Python и хочет проверить свои знания о использовании списка и функции sum. Напишите программу, которая находит максимальную сумму соседних отличных от нуля чисел из списка. 

ФОРМАТ ВВОДА
На вход программе подается строка целых чисел, записанных через пробел. Гарантируется, что хотя бы одно число в списке отлично от нуля.

ФОРМАТ ВЫВОДА
Одно целое число — максимальная сумма соседних отличных от нуля чисел.",,,,
14,51,"count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)","count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.slit()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)",ошибка с опечаткой,"Реализуйте программу, которая проверяет строки на валидность по заданному шаблону.
Вам нужно прочитать строки с консоли, которые будут вводиться в цикле до ввода 'СТОП'.
Каждая строка считается валидной, если она содержит только символы нижнего регистра и пробел.
При этом количество слов (разделенных пробелом) в этих строках должно быть четным.
Необходимо вывести количество валидных строк. Гарантируется, что до слова 'СТОП' будет введена как минимум одна строка.",,,,
15,51,"count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)","count = 0
while True:
    line = input()
    if line == 'СТОП':
        breake
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)",ошибка в синтаксисе,"Реализуйте программу, которая проверяет строки на валидность по заданному шаблону.
Вам нужно прочитать строки с консоли, которые будут вводиться в цикле до ввода 'СТОП'.
Каждая строка считается валидной, если она содержит только символы нижнего регистра и пробел.
При этом количество слов (разделенных пробелом) в этих строках должно быть четным.
Необходимо вывести количество валидных строк. Гарантируется, что до слова 'СТОП' будет введена как минимум одна строка.",,,,
16,51,"count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)","count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islos() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)",ошибка с опечаткой,"Реализуйте программу, которая проверяет строки на валидность по заданному шаблону.
Вам нужно прочитать строки с консоли, которые будут вводиться в цикле до ввода 'СТОП'.
Каждая строка считается валидной, если она содержит только символы нижнего регистра и пробел.
При этом количество слов (разделенных пробелом) в этих строках должно быть четным.
Необходимо вывести количество валидных строк. Гарантируется, что до слова 'СТОП' будет введена как минимум одна строка.",,,,
17,51,"count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)","count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 1:
        count += 1
print(count)",ошибка в логике,"Реализуйте программу, которая проверяет строки на валидность по заданному шаблону.
Вам нужно прочитать строки с консоли, которые будут вводиться в цикле до ввода 'СТОП'.
Каждая строка считается валидной, если она содержит только символы нижнего регистра и пробел.
При этом количество слов (разделенных пробелом) в этих строках должно быть четным.
Необходимо вывести количество валидных строк. Гарантируется, что до слова 'СТОП' будет введена как минимум одна строка.",,,,
18,51,"count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(count)","count = 0
while True:
    line = input()
    if line == 'СТОП':
        break
    words = line.split()
    if all(word.islower() for word in words) and len(words) % 2 == 0:
        count += 1
print(cound)",ошибка в синтаксисе,"Реализуйте программу, которая проверяет строки на валидность по заданному шаблону.
Вам нужно прочитать строки с консоли, которые будут вводиться в цикле до ввода 'СТОП'.
Каждая строка считается валидной, если она содержит только символы нижнего регистра и пробел.
При этом количество слов (разделенных пробелом) в этих строках должно быть четным.
Необходимо вывести количество валидных строк. Гарантируется, что до слова 'СТОП' будет введена как минимум одна строка.",,,,
